AvgSpotLen	BioSample	BioSampleModel	DATASTORE_filetype	DATASTORE_provider	Experiment	LibrarySource	Library_Name	MBases	MBytes	Organism	Run	SRA_Sample	Sample_Name	age	biomaterial_provider	collection_date	dev_stage	geo_loc_name	health_state	identified_by	isolate	isolation_source	race	sex	tissue	Assay_Type	BioProject	Center_Name	Consent	DATASTORE_region	InsertSize	Instrument	LibraryLayout	LibrarySelection	LoadDate	Platform	ReleaseDate	SRA_Study
51	SAMN10290146	Human	fastq sra	ncbi s3	SRX5889540	TRANSCRIPTOMIC	Clontech_brain_sample_small_RNA_in_second_batch_1000ng_total_RNA_input	2458	1263	Homo sapiens	SRR9115355	SRS4811558	Ambion Homogenate whole postmortem brain total RNA	74	Ambion Life Technologies				respiratory failure		Lot No. 1799894		Caucasian	female	homogenate whole brain	miRNA-Seq	PRJNA498326	LIEBER INSTITUTE FOR BRAIN DEVELOPMENT	public	s3.us-east-1	0	Illumina HiSeq 3000	SINGLE	size fractionation	2019-05-24	ILLUMINA	2019-05-28	SRP199350
21	SAMN10290146	Human	fastq sra	ncbi s3	SRX5889539	TRANSCRIPTOMIC	Random_5%_of_NEXTflex_brain_sample_small_RNA_in_triplicate_2000ng_total_RNA_input	57	86	Homo sapiens	SRR9115356	SRS4811558	Ambion Homogenate whole postmortem brain total RNA	74	Ambion Life Technologies				respiratory failure		Lot No. 1799894		Caucasian	female	homogenate whole brain	miRNA-Seq	PRJNA498326	LIEBER INSTITUTE FOR BRAIN DEVELOPMENT	public	s3.us-east-1	0	Illumina HiSeq 3000	SINGLE	size fractionation	2019-05-24	ILLUMINA	2019-05-28	SRP199350
51	SAMN10290146	Human	fastq sra	ncbi s3	SRX5889538	TRANSCRIPTOMIC	NEB_brain_sample_small_RNA_in_second_batch_1000ng_total_RNA_input	1757	704	Homo sapiens	SRR9115357	SRS4811558	Ambion Homogenate whole postmortem brain total RNA	74	Ambion Life Technologies				respiratory failure		Lot No. 1799894		Caucasian	female	homogenate whole brain	miRNA-Seq	PRJNA498326	LIEBER INSTITUTE FOR BRAIN DEVELOPMENT	public	s3.us-east-1	0	Illumina HiSeq 3000	SINGLE	size fractionation	2019-05-24	ILLUMINA	2019-05-28	SRP199350
51	SAMN10290146	Human	fastq sra	ncbi s3	SRX5889537	TRANSCRIPTOMIC	Illumina_brain_sample_small_RNA_in_second_batch_1000ng_total_RNA_input	5	2	Homo sapiens	SRR9115358	SRS4811558	Ambion Homogenate whole postmortem brain total RNA	74	Ambion Life Technologies				respiratory failure		Lot No. 1799894		Caucasian	female	homogenate whole brain	miRNA-Seq	PRJNA498326	LIEBER INSTITUTE FOR BRAIN DEVELOPMENT	public	s3.us-east-1	0	Illumina HiSeq 3000	SINGLE	size fractionation	2019-05-24	ILLUMINA	2019-05-28	SRP199350
21	SAMN10290146	Human	fastq sra	ncbi s3	SRX5889536	TRANSCRIPTOMIC	Deduped_NEXTflex_brain_sample_small_RNA_in_tsecond_batch_1000ng_total_RNA_input	8	11	Homo sapiens	SRR9115359	SRS4811558	Ambion Homogenate whole postmortem brain total RNA	74	Ambion Life Technologies				respiratory failure		Lot No. 1799894		Caucasian	female	homogenate whole brain	miRNA-Seq	PRJNA498326	LIEBER INSTITUTE FOR BRAIN DEVELOPMENT	public	s3.us-east-1	0	Illumina HiSeq 3000	SINGLE	size fractionation	2019-05-24	ILLUMINA	2019-05-28	SRP199350
51	SAMN10290146	Human	fastq sra	ncbi s3	SRX5889535	TRANSCRIPTOMIC	NEXTflex_brain_sample_small_RNA_in_second_batch_1000ng_total_RNA_input	3879	1271	Homo sapiens	SRR9115360	SRS4811558	Ambion Homogenate whole postmortem brain total RNA	74	Ambion Life Technologies				respiratory failure		Lot No. 1799894		Caucasian	female	homogenate whole brain	miRNA-Seq	PRJNA498326	LIEBER INSTITUTE FOR BRAIN DEVELOPMENT	public	s3.us-east-1	0	Illumina HiSeq 3000	SINGLE	size fractionation	2019-05-24	ILLUMINA	2019-05-28	SRP199350
51	SAMN10330926	Model organism or animal	fastq sra	ncbi s3	SRX5889534	SYNTHETIC	Clontech_Miltenyi_Universal Reference_synthetic_small_RNA_300ng_miRNA_input	2683	1334	synthetic construct	SRR9115361	SRS4811562	Miltenyi miRXplore Universal Reference synthetic equimolar miRNA pool	missing		Sep-2016	missing	USA: Maryland		Carrie Wright	Miltenyi miRXplore Universal Reference	mouse, rat, virus, human		missing	missing	miRNA-Seq	PRJNA498326	LIEBER INSTITUTE FOR BRAIN DEVELOPMENT	public	s3.us-east-1	0	Illumina HiSeq 3000	SINGLE	size fractionation	2019-05-24	ILLUMINA	2019-05-28	SRP199350
21	SAMN10290146	Human	fastq sra	ncbi s3	SRX5889533	TRANSCRIPTOMIC	Random_5%_of_NEXTflex_brain_sample_small_RNA_in_tsecond_batch_1000ng_total_RNA_input	5	7	Homo sapiens	SRR9115362	SRS4811558	Ambion Homogenate whole postmortem brain total RNA	74	Ambion Life Technologies				respiratory failure		Lot No. 1799894		Caucasian	female	homogenate whole brain	miRNA-Seq	PRJNA498326	LIEBER INSTITUTE FOR BRAIN DEVELOPMENT	public	s3.us-east-1	0	Illumina HiSeq 3000	SINGLE	size fractionation	2019-05-24	ILLUMINA	2019-05-28	SRP199350
51	SAMN10290146	Human	fastq sra	ncbi s3	SRX5889532	TRANSCRIPTOMIC	NEXTflex_brain_sample_small_RNA_in_triplicate_100ng_total_RNA_input	887	354	Homo sapiens	SRR9115363	SRS4811558	Ambion Homogenate whole postmortem brain total RNA	74	Ambion Life Technologies				respiratory failure		Lot No. 1799894		Caucasian	female	homogenate whole brain	miRNA-Seq	PRJNA498326	LIEBER INSTITUTE FOR BRAIN DEVELOPMENT	public	s3.us-east-1	0	Illumina HiSeq 3000	SINGLE	size fractionation	2019-05-24	ILLUMINA	2019-05-28	SRP199350
51	SAMN10290146	Human	fastq sra	ncbi s3	SRX5889531	TRANSCRIPTOMIC	NEB_brain_sample_small_RNA_in_triplicate_1000ng_total_RNA_input	5916	2282	Homo sapiens	SRR9115364	SRS4811558	Ambion Homogenate whole postmortem brain total RNA	74	Ambion Life Technologies				respiratory failure		Lot No. 1799894		Caucasian	female	homogenate whole brain	miRNA-Seq	PRJNA498326	LIEBER INSTITUTE FOR BRAIN DEVELOPMENT	public	s3.us-east-1	0	Illumina HiSeq 3000	SINGLE	size fractionation	2019-05-24	ILLUMINA	2019-05-28	SRP199350
